epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.507,2.3023,3.82493,1.42376,0.25228,0.41838,0.24856,0.13842,1.50246,2.82074,1.02133,0.000330383,0.000330383,0.000330383
2,39.4887,1.58895,2.22534,1.09942,0.54727,0.56621,0.56702,0.30953,1.49429,1.92743,1.13621,0.000657146,0.000657146,0.000657146
3,52.1803,1.48401,1.84619,1.05732,0.57688,0.57497,0.58644,0.16405,2.13951,1.93292,1.30213,0.000977309,0.000977309,0.000977309
4,64.6692,1.43147,1.54273,1.03761,0.63355,0.57007,0.57951,0.1546,2.46534,1.89926,1.47086,0.0009703,0.0009703,0.0009703
5,77.2871,1.40676,1.41021,1.04128,0.63884,0.6167,0.63063,0.17549,2.22522,1.69007,1.34064,0.0009604,0.0009604,0.0009604
6,89.8866,1.30321,1.28079,1.01163,0.85411,0.81841,0.8966,0.53611,1.29275,1.12129,1.01716,0.0009505,0.0009505,0.0009505
7,102.545,1.38192,1.25064,1.0288,0.9013,0.8071,0.91315,0.49206,1.44588,1.1312,1.07105,0.0009406,0.0009406,0.0009406
8,114.94,1.23935,1.13209,0.98741,0.83616,0.81659,0.86066,0.34314,1.90029,1.18462,1.2275,0.0009307,0.0009307,0.0009307
9,127.816,1.24576,1.05275,0.98785,0.90149,0.85659,0.92409,0.42952,1.64831,1.10882,1.1013,0.0009208,0.0009208,0.0009208
10,140.502,1.18245,1.00058,0.96961,0.89872,0.87992,0.94473,0.65991,1.00178,0.85891,0.95137,0.0009109,0.0009109,0.0009109
11,153.11,1.21331,0.99892,0.98148,0.927,0.8803,0.95193,0.57782,1.2423,0.89191,1.00884,0.000901,0.000901,0.000901
12,165.76,1.20976,0.95178,0.97253,0.92924,0.88948,0.94665,0.45987,1.63433,0.92874,1.10823,0.0008911,0.0008911,0.0008911
13,178.41,1.14652,0.89228,0.95887,0.93631,0.89968,0.95702,0.57514,1.22728,0.80064,1,0.0008812,0.0008812,0.0008812
14,191.1,1.18412,0.89859,0.97005,0.91618,0.88031,0.92001,0.43076,1.58128,0.93985,1.1171,0.0008713,0.0008713,0.0008713
15,206.164,1.13281,0.8588,0.95964,0.95016,0.91393,0.97244,0.70476,0.95839,0.66597,0.9388,0.0008614,0.0008614,0.0008614
16,219.437,1.11173,0.82808,0.95633,0.87184,0.85131,0.898,0.34415,1.98649,0.96428,1.23267,0.0008515,0.0008515,0.0008515
17,232.272,1.12138,0.83517,0.95183,0.9428,0.92412,0.96136,0.51984,1.41516,0.76926,1.04732,0.0008416,0.0008416,0.0008416
18,244.809,1.17453,0.81723,0.96755,0.95724,0.92781,0.9747,0.68138,1.0463,0.65432,0.95299,0.0008317,0.0008317,0.0008317
19,260.675,1.12358,0.79084,0.95266,0.9416,0.92301,0.96674,0.61793,1.23868,0.7007,0.99742,0.0008218,0.0008218,0.0008218
20,276.624,1.12825,0.78856,0.95446,0.94672,0.92106,0.96136,0.54578,1.33711,0.7338,1.02332,0.0008119,0.0008119,0.0008119
21,292.143,1.15608,0.77539,0.96004,0.96598,0.91087,0.97391,0.67158,1.11706,0.65229,0.96421,0.000802,0.000802,0.000802
22,310.202,1.10072,0.75321,0.94408,0.94815,0.89997,0.95946,0.45302,1.73852,0.81582,1.14794,0.0007921,0.0007921,0.0007921
23,322.859,1.14557,0.78355,0.94745,0.93311,0.93564,0.96622,0.56852,1.39694,0.71449,1.04462,0.0007822,0.0007822,0.0007822
24,335.57,1.07525,0.73781,0.94554,0.9477,0.90317,0.94367,0.44051,1.73769,0.7819,1.13712,0.0007723,0.0007723,0.0007723
25,349.412,1.06865,0.72512,0.94398,0.95907,0.8944,0.95626,0.49515,1.5443,0.73252,1.08953,0.0007624,0.0007624,0.0007624
26,361.861,1.04104,0.7091,0.92953,0.96699,0.91793,0.97453,0.69571,0.96867,0.58898,0.93411,0.0007525,0.0007525,0.0007525
27,374.567,1.05045,0.70254,0.9355,0.92338,0.91463,0.93526,0.39047,1.93275,0.84204,1.22719,0.0007426,0.0007426,0.0007426
28,387.135,1.0972,0.70923,0.94767,0.94673,0.92935,0.96531,0.58965,1.31331,0.6616,1.01444,0.0007327,0.0007327,0.0007327
29,399.676,1.08108,0.71207,0.94341,0.95069,0.91921,0.96198,0.56217,1.33111,0.66707,1.02608,0.0007228,0.0007228,0.0007228
30,412.425,1.0609,0.68778,0.94144,0.96837,0.93176,0.97625,0.67952,1.02926,0.56939,0.9526,0.0007129,0.0007129,0.0007129
31,425.041,1.04051,0.66942,0.93073,0.9466,0.88354,0.94197,0.41276,1.87663,0.76151,1.20536,0.000703,0.000703,0.000703
32,437.761,1.11013,0.69169,0.9393,0.9622,0.92174,0.97374,0.66659,1.05484,0.60548,0.95763,0.0006931,0.0006931,0.0006931
33,450.401,1.00482,0.65091,0.92691,0.96661,0.92966,0.97798,0.60022,1.21087,0.59046,0.9885,0.0006832,0.0006832,0.0006832
34,463.127,1.01823,0.65011,0.92945,0.95613,0.93021,0.97226,0.53621,1.49324,0.66795,1.07299,0.0006733,0.0006733,0.0006733
35,475.831,1.04125,0.65549,0.92978,0.97385,0.93571,0.97664,0.63243,1.25228,0.59903,1.01139,0.0006634,0.0006634,0.0006634
36,488.419,0.97763,0.61933,0.91781,0.96671,0.94106,0.98258,0.72713,0.90377,0.51178,0.92618,0.0006535,0.0006535,0.0006535
37,501.017,1.01462,0.64415,0.93095,0.96115,0.93914,0.97191,0.56272,1.41932,0.62414,1.06133,0.0006436,0.0006436,0.0006436
38,513.557,0.98959,0.61717,0.92928,0.95835,0.91759,0.96162,0.46978,1.69659,0.6958,1.13213,0.0006337,0.0006337,0.0006337
39,526.554,1.00955,0.6285,0.92724,0.96874,0.94678,0.98162,0.73278,0.90916,0.51339,0.9206,0.0006238,0.0006238,0.0006238
40,540.818,0.96704,0.61241,0.91271,0.96036,0.93503,0.97721,0.70061,0.96729,0.54044,0.93071,0.0006139,0.0006139,0.0006139
41,554.834,0.95803,0.60198,0.91911,0.97261,0.93043,0.97435,0.54539,1.48702,0.62422,1.06888,0.000604,0.000604,0.000604
42,568.059,0.98025,0.61754,0.91952,0.95207,0.91709,0.94984,0.5222,1.43106,0.62627,1.06503,0.0005941,0.0005941,0.0005941
43,581.659,0.95656,0.59717,0.91545,0.97144,0.94175,0.98257,0.74511,0.87886,0.48427,0.92454,0.0005842,0.0005842,0.0005842
44,594.622,0.9913,0.60934,0.92617,0.97288,0.92419,0.97537,0.66382,1.10389,0.54562,0.9754,0.0005743,0.0005743,0.0005743
45,607.695,0.99998,0.60694,0.92353,0.94812,0.95536,0.97903,0.72865,0.89982,0.50748,0.9223,0.0005644,0.0005644,0.0005644
46,620.96,0.97958,0.58967,0.92259,0.95981,0.93694,0.97106,0.56499,1.32219,0.57954,1.02865,0.0005545,0.0005545,0.0005545
47,633.848,0.94271,0.58941,0.91569,0.95209,0.94477,0.97662,0.74395,0.87626,0.48206,0.92118,0.0005446,0.0005446,0.0005446
48,646.839,0.93687,0.5818,0.91053,0.96597,0.94128,0.96921,0.56634,1.40551,0.60275,1.05979,0.0005347,0.0005347,0.0005347
49,659.791,0.95211,0.58896,0.91246,0.95838,0.93539,0.97027,0.53411,1.54549,0.62017,1.09334,0.0005248,0.0005248,0.0005248
50,672.619,0.94861,0.5709,0.91533,0.95754,0.93874,0.96929,0.58617,1.29736,0.55751,1.01874,0.0005149,0.0005149,0.0005149
51,687.386,0.93343,0.56029,0.90824,0.95504,0.95287,0.98047,0.67117,1.07593,0.50611,0.96223,0.000505,0.000505,0.000505
52,703.512,0.9413,0.56334,0.91271,0.95293,0.93802,0.97101,0.48147,1.69891,0.64614,1.1448,0.0004951,0.0004951,0.0004951
53,716.212,0.93253,0.55527,0.91422,0.95366,0.96819,0.98479,0.75788,0.82649,0.45827,0.90835,0.0004852,0.0004852,0.0004852
54,728.972,0.91387,0.55081,0.89734,0.96695,0.94711,0.97491,0.69347,1.00317,0.50022,0.94369,0.0004753,0.0004753,0.0004753
55,741.736,0.91258,0.55556,0.90819,0.95735,0.93825,0.97679,0.62852,1.23113,0.54231,0.99677,0.0004654,0.0004654,0.0004654
56,754.439,0.92007,0.556,0.90656,0.96777,0.95473,0.98531,0.74292,0.87728,0.45504,0.91087,0.0004555,0.0004555,0.0004555
57,767.259,0.89808,0.53725,0.90525,0.9584,0.9511,0.98116,0.6738,1.05162,0.49311,0.9582,0.0004456,0.0004456,0.0004456
58,779.995,0.92668,0.5422,0.90418,0.97047,0.94195,0.97672,0.62609,1.2225,0.53915,0.99698,0.0004357,0.0004357,0.0004357
59,792.845,0.92227,0.54253,0.90626,0.97158,0.93027,0.9726,0.53295,1.53719,0.5987,1.0922,0.0004258,0.0004258,0.0004258
60,806.217,0.9089,0.53497,0.90274,0.9495,0.95779,0.97773,0.69613,1.0142,0.48721,0.94243,0.0004159,0.0004159,0.0004159
61,819.016,0.91153,0.53292,0.90592,0.96593,0.94121,0.97551,0.65506,1.11462,0.513,0.96537,0.000406,0.000406,0.000406
62,831.715,0.91908,0.53545,0.90534,0.97071,0.9527,0.97868,0.69659,1.02776,0.47505,0.95409,0.0003961,0.0003961,0.0003961
63,844.309,0.8931,0.52267,0.89647,0.9705,0.94283,0.97563,0.61102,1.29994,0.53851,1.01769,0.0003862,0.0003862,0.0003862
64,856.912,0.89061,0.52854,0.8983,0.97045,0.94089,0.98282,0.65295,1.15593,0.51281,0.97559,0.0003763,0.0003763,0.0003763
65,869.474,0.89969,0.53235,0.89993,0.97018,0.94108,0.98227,0.67467,1.06971,0.49561,0.95918,0.0003664,0.0003664,0.0003664
